Age,Attrition,BusinessTravel,DailyRate,Department,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromoffice,JobInvolvement,Job Level,Total Working Years,Retirement,Promotion status,Job satisfaction,Performance Rating
50,No,Non-Travel,626,Sales,4,Life Sciences,1,882,4,Male,78,Manager,1,Single,11412,21997,1,Yes,12,3,2,80,1,0,3,17,8,2,0,Very Far,2 Jobs,Level 5,25 Years,due for retirement,due for promotion,High,High Ratings
34,No,Travel_Rarely,934,Human Resources,4,Marketing,1,707,1,Male,50,Research Scientist,2,Single,15934,4490,5,No,18,4,1,80,3,0,1,9,7,4,4,Very Far,3 Jobs,Level 3,18 Years,On service,due for promotion,High,Low Ratings
36,Yes,Non-Travel,1474,Research & Development,2,Life Sciences,1,3367,2,Male,42,Research Scientist,4,Divorced,13353,19154,7,Yes,21,4,1,80,1,1,1,13,6,5,1,Very Close,3 Jobs,Level 3,14 Years,On service,due for promotion,High,High Ratings
46,No,Non-Travel,826,Human Resources,3,Marketing,1,2324,1,Male,74,Software Engineer,1,Divorced,2689,24114,3,Yes,23,3,3,80,3,2,1,3,6,0,3,Very Close,1 Jobs,Level 4,12 Years,On service,Not due,Low,Low Ratings
39,No,Non-Travel,712,Research & Development,4,Life Sciences,1,2894,2,Male,90,Support Engineer,4,Single,19844,7835,0,No,11,4,1,80,0,3,3,8,7,9,8,Close,2 Jobs,Level 1,14 Years,On service,Not due,Medium,High Ratings
53,Yes,Travel_Rarely,546,Sales,4,Other,1,3817,2,Female,90,Support Engineer,1,Single,8433,8495,1,No,12,4,4,80,1,5,1,5,6,7,1,Very Far,3 Jobs,Level 2,26 Years,On service,due for promotion,High,Low Ratings
36,No,Travel_Rarely,422,Research & Development,3,Other,1,2560,3,Male,57,Research Scientist,4,Married,9259,17731,3,Yes,13,4,1,80,3,0,3,8,9,3,6,Very Far,4 Jobs,Level 2,18 Years,On service,due for promotion,Medium,Low Ratings
28,Yes,Travel_Rarely,1034,Human Resources,2,Technical Degree,1,231,2,Male,88,Sales Executive,3,Divorced,18055,7004,3,No,21,4,3,80,3,3,3,2,2,7,9,Very Close,1 Jobs,Level 2,30 Years,due for retirement,due for promotion,Medium,High Ratings
59,No,Travel_Rarely,1037,Sales,2,Life Sciences,1,5092,2,Male,69,Manager,2,Married,6622,29433,3,No,19,4,2,80,1,2,1,5,0,8,9,Very Close,1 Jobs,Level 3,20 Years,On service,due for promotion,Medium,High Ratings
28,No,Travel_Rarely,833,Sales,4,Technical Degree,1,1555,2,Female,44,HR Executive,4,Single,15485,26497,6,Yes,13,4,1,80,3,3,1,19,3,1,2,Close,2 Jobs,Level 1,2 Years,On service,Not due,Low,Low Ratings
18,No,Non-Travel,1388,Sales,1,Medical,1,4240,2,Male,98,Business Analyst,2,Divorced,12043,3877,5,No,11,3,3,80,3,4,3,13,0,1,1,Very Close,3 Jobs,Level 2,7 Years,On service,Not due,High,Low Ratings
29,Yes,Non-Travel,486,Human Resources,1,Life Sciences,1,5095,1,Female,51,Research Scientist,1,Married,13361,25765,6,No,18,3,2,80,3,1,3,15,4,3,0,Close,1 Jobs,Level 5,15 Years,On service,due for promotion,High,Low Ratings
28,Yes,Travel_Rarely,1139,Human Resources,3,Marketing,1,4787,4,Female,80,Manager,2,Single,14044,12760,4,Yes,12,4,3,80,3,2,2,5,9,0,7,Very Close,1 Jobs,Level 4,28 Years,due for retirement,due for promotion,Medium,High Ratings
30,No,Travel_Frequently,1488,Human Resources,3,Life Sciences,1,3602,1,Male,85,Research Scientist,3,Divorced,15917,25584,9,Yes,20,3,1,80,3,1,4,10,3,7,3,Close,4 Jobs,Level 4,10 Years,On service,Not due,High,Low Ratings
22,Yes,Travel_Frequently,149,Research & Development,4,Marketing,1,5218,4,Male,69,Data Analyst,3,Married,11201,25620,2,Yes,15,4,4,80,3,1,3,12,7,0,5,Close,3 Jobs,Level 2,15 Years,due for retirement,Not due,Low,Low Ratings
21,Yes,Non-Travel,860,Human Resources,3,Marketing,1,5076,4,Male,90,HR Executive,3,Married,5201,15020,2,No,16,4,1,80,0,1,4,10,7,3,8,Close,1 Jobs,Level 3,17 Years,On service,due for promotion,High,Low Ratings
41,No,Travel_Rarely,599,Research & Development,1,Marketing,1,18,3,Male,80,Data Analyst,3,Single,15945,20853,8,Yes,18,4,2,80,0,0,3,16,9,3,8,Close,4 Jobs,Level 4,11 Years,On service,due for promotion,Low,Low Ratings
46,No,Travel_Rarely,159,Sales,2,Marketing,1,5176,3,Male,82,HR Executive,1,Divorced,2652,24176,5,No,16,4,2,80,0,2,4,13,7,3,8,Very Close,3 Jobs,Level 4,2 Years,On service,due for promotion,High,High Ratings
30,Yes,Travel_Frequently,154,Research & Development,1,Medical,1,2869,2,Male,64,Manager,2,Married,13690,16569,2,Yes,14,3,1,80,3,4,2,10,1,9,7,Very Far,4 Jobs,Level 4,27 Years,On service,due for promotion,Low,High Ratings
34,No,Travel_Frequently,117,Sales,1,Life Sciences,1,1655,1,Male,60,Software Engineer,2,Single,7259,15472,1,Yes,12,3,1,80,1,2,4,1,5,3,7,Very Close,3 Jobs,Level 4,21 Years,On service,due for promotion,High,High Ratings
46,No,Travel_Frequently,1009,Sales,4,Medical,1,1130,4,Male,68,Research Scientist,2,Married,18876,20097,4,No,23,4,4,80,2,2,2,19,7,9,4,Very Close,1 Jobs,Level 2,18 Years,due for retirement,Not due,Low,Low Ratings
30,No,Non-Travel,161,Sales,2,Technical Degree,1,2330,3,Female,42,Research Scientist,4,Single,6019,8553,7,Yes,16,3,4,80,2,3,1,12,8,1,9,Very Close,3 Jobs,Level 1,25 Years,On service,Not due,High,High Ratings
57,No,Non-Travel,858,Human Resources,1,Technical Degree,1,1091,2,Male,35,Sales Executive,1,Single,16691,13563,3,Yes,21,4,4,80,1,4,2,6,1,5,4,Very Far,3 Jobs,Level 1,4 Years,On service,due for promotion,Low,Low Ratings
23,No,Non-Travel,185,Research & Development,2,Technical Degree,1,5604,3,Female,95,Business Analyst,3,Single,8948,6126,4,No,22,3,1,80,0,1,1,3,6,7,2,Very Close,4 Jobs,Level 3,9 Years,due for retirement,due for promotion,Medium,High Ratings
52,No,Travel_Rarely,888,Research & Development,4,Other,1,4459,3,Female,46,Data Analyst,2,Divorced,9719,11412,7,No,17,3,3,80,1,0,3,14,1,1,0,Close,2 Jobs,Level 5,27 Years,On service,due for promotion,Medium,High Ratings
35,No,Travel_Rarely,1348,Research & Development,1,Life Sciences,1,1499,3,Female,84,Research Scientist,4,Single,11074,3591,2,No,22,3,1,80,0,2,1,18,0,2,7,Close,2 Jobs,Level 1,28 Years,On service,due for promotion,High,High Ratings
25,Yes,Travel_Rarely,493,Research & Development,2,Technical Degree,1,3034,1,Female,46,Manager,4,Single,16663,19648,1,No,23,4,2,80,0,3,1,15,3,4,6,Very Far,3 Jobs,Level 5,17 Years,On service,due for promotion,Low,Low Ratings
44,No,Travel_Rarely,1056,Human Resources,2,Technical Degree,1,1882,3,Male,98,Software Engineer,1,Divorced,19849,28033,2,No,20,4,2,80,0,2,3,3,9,7,5,Very Close,4 Jobs,Level 1,17 Years,On service,due for promotion,High,Low Ratings
43,Yes,Travel_Frequently,836,Sales,3,Marketing,1,2663,3,Male,56,Business Analyst,3,Divorced,18235,10403,6,No,19,3,1,80,1,5,1,12,3,1,9,Very Close,2 Jobs,Level 1,17 Years,On service,due for promotion,Low,Low Ratings
59,Yes,Non-Travel,278,Human Resources,4,Other,1,5114,3,Male,88,Manager,2,Married,12662,19026,9,No,24,3,2,80,0,0,3,6,4,3,4,Very Close,1 Jobs,Level 3,30 Years,due for retirement,due for promotion,Medium,Low Ratings
22,No,Travel_Frequently,1121,Sales,2,Technical Degree,1,3414,1,Male,77,Data Analyst,2,Married,13032,27904,9,Yes,21,3,3,80,0,1,1,12,8,9,2,Close,1 Jobs,Level 4,16 Years,On service,due for promotion,Low,High Ratings
25,No,Travel_Rarely,1408,Sales,1,Other,1,697,4,Female,80,Sales Executive,3,Single,15920,25956,1,Yes,22,3,3,80,3,2,4,0,7,1,0,Very Far,2 Jobs,Level 3,20 Years,On service,Not due,Medium,High Ratings
35,Yes,Travel_Rarely,297,Research & Development,3,Life Sciences,1,4424,1,Female,68,Research Scientist,3,Married,9824,6082,6,Yes,20,3,2,80,2,2,2,18,8,0,4,Very Close,1 Jobs,Level 1,25 Years,On service,due for promotion,High,Low Ratings
50,Yes,Travel_Rarely,925,Sales,2,Medical,1,3485,3,Male,99,Manager,1,Married,11048,27608,1,Yes,17,3,1,80,3,3,3,14,5,4,4,Very Far,4 Jobs,Level 4,8 Years,due for retirement,due for promotion,Medium,Low Ratings
59,No,Non-Travel,324,Sales,3,Technical Degree,1,536,2,Male,99,Business Analyst,4,Divorced,10679,18112,8,Yes,10,3,3,80,0,5,1,1,9,4,2,Close,2 Jobs,Level 4,23 Years,due for retirement,due for promotion,High,Low Ratings
33,Yes,Travel_Rarely,1384,Human Resources,1,Marketing,1,2628,1,Male,43,HR Executive,1,Single,13393,25467,0,No,10,3,3,80,2,2,1,15,9,6,2,Very Close,3 Jobs,Level 4,15 Years,On service,Not due,High,High Ratings
44,No,Non-Travel,1061,Sales,1,Other,1,3164,4,Male,87,Software Engineer,3,Single,15120,13983,9,No,22,4,4,80,2,5,2,14,4,9,5,Close,3 Jobs,Level 5,1 Years,On service,due for promotion,Medium,Low Ratings
53,Yes,Travel_Rarely,578,Human Resources,3,Other,1,3493,3,Male,57,Business Analyst,3,Divorced,5771,26129,9,Yes,20,4,2,80,1,0,1,17,8,8,5,Very Far,4 Jobs,Level 1,19 Years,On service,due for promotion,Low,High Ratings
29,Yes,Travel_Rarely,1124,Sales,4,Technical Degree,1,3654,2,Male,67,Manager,1,Single,6871,17456,7,No,13,4,3,80,2,4,1,10,8,7,8,Very Close,1 Jobs,Level 2,25 Years,due for retirement,due for promotion,Low,High Ratings
37,No,Non-Travel,654,Human Resources,1,Other,1,2595,2,Female,61,Software Engineer,4,Married,6794,22505,1,No,13,4,3,80,1,4,2,12,7,3,4,Very Close,2 Jobs,Level 3,15 Years,On service,due for promotion,High,Low Ratings
58,No,Non-Travel,814,Sales,3,Technical Degree,1,5718,4,Male,62,Research Scientist,3,Married,12348,24969,9,No,23,3,3,80,3,2,3,16,0,5,9,Close,3 Jobs,Level 5,9 Years,On service,due for promotion,Medium,Low Ratings
28,No,Travel_Rarely,322,Human Resources,4,Life Sciences,1,5511,2,Female,35,HR Executive,2,Divorced,6630,21965,0,Yes,11,4,1,80,0,2,4,9,3,1,9,Very Far,2 Jobs,Level 3,5 Years,On service,Not due,High,High Ratings
38,No,Travel_Rarely,790,Human Resources,4,Other,1,1048,3,Male,67,Sales Executive,3,Single,7259,9098,2,Yes,14,3,1,80,0,4,4,18,4,1,0,Close,4 Jobs,Level 2,16 Years,On service,due for promotion,Medium,Low Ratings
25,No,Travel_Rarely,1191,Human Resources,2,Technical Degree,1,5685,3,Female,78,Business Analyst,3,Single,9175,10897,9,Yes,24,3,2,80,0,5,2,3,4,7,6,Close,2 Jobs,Level 4,28 Years,due for retirement,Not due,High,Low Ratings
21,No,Travel_Rarely,572,Human Resources,1,Marketing,1,5019,4,Male,43,Sales Executive,4,Divorced,7078,26589,1,No,17,3,1,80,3,1,4,8,9,6,8,Close,1 Jobs,Level 2,13 Years,On service,due for promotion,Low,Low Ratings
20,No,Travel_Rarely,1221,Sales,3,Marketing,1,15,3,Female,46,HR Executive,4,Divorced,4510,2078,3,No,18,4,2,80,1,2,4,17,5,5,0,Very Close,4 Jobs,Level 3,16 Years,On service,due for promotion,Low,High Ratings
58,No,Travel_Rarely,1023,Sales,1,Life Sciences,1,3743,4,Female,44,Software Engineer,1,Divorced,8863,11208,8,Yes,23,3,2,80,2,5,1,16,9,3,6,Very Far,1 Jobs,Level 2,22 Years,On service,due for promotion,High,Low Ratings
31,No,Non-Travel,738,Sales,1,Marketing,1,4308,1,Male,78,Research Scientist,1,Divorced,5736,28407,8,No,15,4,1,80,2,0,4,9,1,9,2,Very Close,4 Jobs,Level 1,11 Years,due for retirement,Not due,Medium,High Ratings
51,No,Travel_Rarely,727,Research & Development,2,Medical,1,5874,2,Male,49,Manager,2,Married,10781,26910,2,Yes,20,3,2,80,2,0,2,4,9,2,4,Very Close,3 Jobs,Level 2,13 Years,On service,due for promotion,High,Low Ratings
32,No,Travel_Frequently,1095,Human Resources,4,Marketing,1,2348,1,Female,68,HR Executive,3,Divorced,8941,21730,9,Yes,13,3,4,80,2,5,1,17,6,7,7,Very Close,1 Jobs,Level 1,6 Years,On service,due for promotion,Low,High Ratings
25,No,Travel_Rarely,739,Sales,2,Life Sciences,1,5691,4,Male,66,Data Analyst,2,Divorced,19564,28796,8,Yes,15,4,3,80,0,0,3,11,2,6,3,Close,1 Jobs,Level 2,26 Years,On service,due for promotion,High,Low Ratings
46,No,Travel_Rarely,690,Sales,3,Other,1,1565,3,Male,39,Software Engineer,2,Divorced,18766,25290,5,No,13,4,2,80,1,0,2,17,7,9,0,Very Far,1 Jobs,Level 1,20 Years,On service,due for promotion,Medium,High Ratings
44,No,Travel_Rarely,1482,Research & Development,4,Life Sciences,1,5620,3,Male,96,Sales Executive,2,Divorced,7291,27744,9,No,15,3,3,80,3,2,3,13,9,3,9,Close,2 Jobs,Level 1,17 Years,On service,Not due,Low,High Ratings
25,No,Travel_Rarely,627,Human Resources,1,Other,1,1865,3,Male,56,Business Analyst,4,Single,4543,11805,0,Yes,11,4,3,80,3,0,4,2,1,4,1,Close,4 Jobs,Level 2,5 Years,On service,Not due,High,High Ratings
52,No,Travel_Rarely,120,Sales,2,Life Sciences,1,3095,3,Female,84,HR Executive,3,Single,9062,9278,0,No,13,3,4,80,1,2,4,11,7,1,7,Close,4 Jobs,Level 5,29 Years,due for retirement,due for promotion,Medium,High Ratings
48,Yes,Non-Travel,488,Human Resources,2,Marketing,1,66,1,Male,65,Sales Executive,1,Divorced,19134,27549,9,Yes,14,4,4,80,3,2,3,1,1,6,2,Very Far,2 Jobs,Level 4,17 Years,On service,due for promotion,High,High Ratings
35,No,Non-Travel,905,Research & Development,4,Technical Degree,1,3404,1,Male,81,Software Engineer,2,Married,2344,6559,6,No,12,3,1,80,2,0,3,7,0,1,0,Very Close,2 Jobs,Level 4,1 Years,due for retirement,due for promotion,Low,High Ratings
26,No,Non-Travel,850,Research & Development,2,Life Sciences,1,5410,4,Female,99,Sales Executive,1,Divorced,16608,5589,2,Yes,15,4,3,80,2,2,3,15,3,8,2,Very Far,4 Jobs,Level 4,27 Years,due for retirement,due for promotion,High,Low Ratings
52,No,Non-Travel,631,Human Resources,4,Medical,1,5855,4,Female,88,HR Executive,4,Married,2372,27661,8,Yes,10,3,1,80,1,4,3,4,5,9,2,Very Far,4 Jobs,Level 1,5 Years,On service,Not due,Low,High Ratings
48,No,Travel_Rarely,652,Human Resources,4,Medical,1,2411,4,Female,97,Software Engineer,2,Divorced,12950,21418,2,No,15,3,4,80,3,2,1,19,1,5,6,Very Close,1 Jobs,Level 4,5 Years,On service,due for promotion,Low,High Ratings
35,No,Travel_Rarely,265,Sales,1,Marketing,1,5770,4,Male,32,Data Analyst,2,Married,10797,21594,4,No,23,4,3,80,3,4,2,14,7,9,0,Very Far,3 Jobs,Level 1,7 Years,due for retirement,due for promotion,Low,Low Ratings
33,No,Travel_Rarely,513,Human Resources,4,Life Sciences,1,2842,4,Male,73,HR Executive,4,Single,8807,10840,1,No,14,4,2,80,1,4,1,19,4,9,7,Very Close,1 Jobs,Level 5,16 Years,On service,due for promotion,Medium,High Ratings
53,No,Non-Travel,1004,Human Resources,2,Medical,1,2009,2,Male,56,Manager,1,Married,13611,18131,7,No,15,3,3,80,1,4,1,3,9,6,2,Very Far,4 Jobs,Level 2,18 Years,On service,due for promotion,Low,High Ratings
42,No,Non-Travel,498,Human Resources,1,Life Sciences,1,1273,3,Female,32,Support Engineer,3,Married,19594,28240,8,No,21,4,2,80,2,5,3,14,5,0,6,Very Far,2 Jobs,Level 2,6 Years,On service,due for promotion,High,High Ratings
57,Yes,Travel_Rarely,1417,Research & Development,1,Marketing,1,4946,3,Male,90,Research Scientist,4,Divorced,19329,18228,6,Yes,10,3,4,80,1,0,2,17,0,5,6,Close,3 Jobs,Level 1,2 Years,due for retirement,Not due,Medium,Low Ratings
45,No,Non-Travel,525,Human Resources,3,Life Sciences,1,1895,1,Male,82,HR Executive,3,Married,14807,28422,8,Yes,19,4,2,80,0,3,3,19,9,9,9,Very Close,4 Jobs,Level 1,13 Years,On service,due for promotion,High,Low Ratings
45,No,Travel_Rarely,225,Sales,2,Technical Degree,1,4318,4,Male,93,Software Engineer,2,Divorced,4124,21361,6,No,10,3,2,80,2,4,1,11,0,2,0,Very Close,1 Jobs,Level 5,10 Years,On service,due for promotion,Medium,Low Ratings
53,No,Travel_Frequently,612,Sales,2,Marketing,1,1972,2,Male,45,Business Analyst,2,Divorced,6074,9134,4,No,11,3,2,80,2,5,2,6,4,3,6,Close,1 Jobs,Level 4,21 Years,On service,due for promotion,Low,High Ratings
36,Yes,Travel_Rarely,991,Human Resources,2,Marketing,1,4096,4,Female,88,Research Scientist,3,Divorced,3214,21856,0,Yes,15,3,1,80,1,5,4,1,5,9,4,Very Far,3 Jobs,Level 5,20 Years,On service,Not due,Low,High Ratings
28,No,Travel_Frequently,967,Sales,1,Life Sciences,1,89,4,Male,53,HR Executive,4,Single,12531,3037,1,Yes,23,3,2,80,0,2,3,0,2,8,0,Very Close,4 Jobs,Level 2,11 Years,On service,due for promotion,Medium,Low Ratings
19,No,Travel_Frequently,400,Human Resources,2,Life Sciences,1,3091,1,Female,73,Data Analyst,2,Single,3697,12991,3,Yes,10,3,1,80,3,0,2,12,2,2,3,Close,1 Jobs,Level 2,26 Years,On service,due for promotion,Low,Low Ratings
19,No,Non-Travel,426,Research & Development,4,Marketing,1,4884,2,Female,79,Business Analyst,4,Married,13485,25216,4,No,22,3,3,80,1,2,4,1,3,2,8,Very Far,2 Jobs,Level 4,21 Years,due for retirement,due for promotion,Low,High Ratings
53,No,Travel_Frequently,669,Human Resources,1,Life Sciences,1,1500,2,Male,90,Data Analyst,4,Single,16577,18462,6,No,19,4,4,80,1,3,2,2,1,2,9,Very Far,4 Jobs,Level 2,2 Years,due for retirement,due for promotion,Low,High Ratings
45,No,Non-Travel,210,Research & Development,2,Marketing,1,2900,1,Female,57,Manager,1,Single,11076,13199,6,No,12,3,4,80,0,0,3,9,5,2,1,Very Far,3 Jobs,Level 1,8 Years,On service,Not due,Medium,Low Ratings
58,Yes,Travel_Rarely,912,Research & Development,2,Medical,1,1408,1,Female,88,Business Analyst,4,Divorced,10393,11071,9,Yes,19,3,1,80,1,0,3,1,4,0,4,Very Close,2 Jobs,Level 2,24 Years,due for retirement,due for promotion,High,High Ratings
34,Yes,Non-Travel,1109,Sales,4,Marketing,1,3460,2,Female,93,Sales Executive,2,Divorced,15947,15299,0,No,12,4,4,80,2,5,1,16,3,6,0,Very Far,3 Jobs,Level 3,22 Years,On service,due for promotion,Medium,Low Ratings
51,No,Non-Travel,484,Research & Development,4,Technical Degree,1,3671,3,Male,33,Support Engineer,2,Married,19591,13467,1,Yes,19,4,1,80,2,0,2,11,3,8,7,Very Close,3 Jobs,Level 4,19 Years,On service,due for promotion,Medium,Low Ratings
55,No,Non-Travel,1474,Human Resources,3,Medical,1,4699,2,Male,46,Business Analyst,4,Divorced,15242,10085,0,No,10,4,2,80,1,5,2,3,5,3,1,Close,3 Jobs,Level 4,20 Years,On service,due for promotion,Medium,High Ratings
43,No,Travel_Rarely,1354,Human Resources,1,Marketing,1,5778,2,Male,73,Research Scientist,2,Single,6663,15970,2,Yes,24,4,4,80,1,4,2,4,6,9,2,Very Far,2 Jobs,Level 4,17 Years,On service,due for promotion,Low,Low Ratings
27,No,Non-Travel,1448,Research & Development,1,Life Sciences,1,4504,1,Female,76,Business Analyst,3,Single,18160,21994,2,Yes,21,4,3,80,2,0,4,13,1,4,5,Very Far,1 Jobs,Level 3,16 Years,On service,Not due,Low,High Ratings
38,Yes,Non-Travel,946,Human Resources,1,Marketing,1,764,1,Female,52,Software Engineer,2,Single,18690,20583,3,No,11,4,1,80,0,3,3,10,9,9,6,Very Close,2 Jobs,Level 5,25 Years,On service,due for promotion,Medium,High Ratings
50,No,Non-Travel,1246,Research & Development,4,Life Sciences,1,1663,3,Female,78,Support Engineer,1,Married,7724,5155,7,No,15,4,3,80,1,2,2,10,4,8,9,Very Close,3 Jobs,Level 1,10 Years,due for retirement,due for promotion,High,Low Ratings
22,Yes,Travel_Rarely,807,Human Resources,4,Marketing,1,421,3,Male,99,Software Engineer,2,Divorced,7129,6875,9,No,10,4,3,80,0,1,4,5,1,1,4,Very Far,1 Jobs,Level 4,5 Years,due for retirement,due for promotion,High,High Ratings
26,No,Travel_Rarely,1008,Research & Development,4,Life Sciences,1,3015,3,Male,73,Sales Executive,1,Single,5125,12705,7,Yes,10,4,1,80,1,2,4,7,3,0,9,Very Close,2 Jobs,Level 2,14 Years,On service,Not due,High,High Ratings
47,Yes,Travel_Rarely,1161,Research & Development,3,Life Sciences,1,2585,3,Male,80,Business Analyst,3,Divorced,5170,26344,0,Yes,17,4,3,80,0,1,4,14,6,9,3,Very Far,1 Jobs,Level 1,24 Years,On service,due for promotion,Medium,Low Ratings
50,No,Travel_Rarely,820,Research & Development,3,Marketing,1,374,4,Male,69,Data Analyst,3,Divorced,10056,19494,5,Yes,16,3,3,80,1,3,1,13,2,3,6,Very Far,4 Jobs,Level 2,19 Years,On service,due for promotion,Low,Low Ratings
41,Yes,Non-Travel,476,Sales,2,Technical Degree,1,5032,2,Female,73,Data Analyst,3,Divorced,16388,23876,4,No,10,3,2,80,3,3,3,15,2,1,8,Close,4 Jobs,Level 1,4 Years,On service,due for promotion,Medium,High Ratings
55,Yes,Travel_Rarely,701,Human Resources,1,Marketing,1,4535,4,Male,53,HR Executive,3,Married,16848,10796,4,No,10,4,1,80,2,2,3,7,5,8,7,Close,2 Jobs,Level 1,20 Years,due for retirement,due for promotion,Medium,High Ratings
32,Yes,Travel_Rarely,889,Sales,1,Life Sciences,1,2374,4,Male,74,Manager,3,Married,15840,25500,9,No,13,3,1,80,2,5,4,8,4,0,1,Close,2 Jobs,Level 2,16 Years,due for retirement,due for promotion,High,High Ratings
18,No,Travel_Rarely,1389,Research & Development,2,Marketing,1,2768,3,Male,56,Research Scientist,2,Single,18989,5831,8,No,24,3,4,80,0,5,2,19,5,6,6,Close,1 Jobs,Level 2,24 Years,On service,Not due,Medium,Low Ratings
58,No,Non-Travel,416,Research & Development,2,Marketing,1,3362,4,Male,45,Support Engineer,3,Married,11527,21954,4,No,23,3,4,80,2,4,4,13,6,8,7,Very Close,3 Jobs,Level 1,15 Years,due for retirement,Not due,Low,Low Ratings
31,No,Travel_Rarely,793,Research & Development,1,Technical Degree,1,1833,1,Male,60,Manager,3,Married,17607,15865,6,Yes,13,4,2,80,0,1,4,8,5,7,8,Very Close,3 Jobs,Level 4,28 Years,On service,due for promotion,Low,Low Ratings
42,No,Travel_Rarely,357,Research & Development,4,Life Sciences,1,1621,4,Male,55,Business Analyst,3,Single,9195,15828,7,No,19,4,1,80,2,4,1,12,9,7,9,Close,4 Jobs,Level 2,9 Years,On service,due for promotion,High,High Ratings
33,No,Travel_Rarely,1425,Research & Development,2,Technical Degree,1,3276,2,Male,49,Manager,1,Married,9345,12908,1,No,16,3,4,80,1,5,4,11,0,5,8,Very Far,1 Jobs,Level 3,3 Years,On service,due for promotion,Low,Low Ratings
48,No,Travel_Frequently,639,Research & Development,3,Marketing,1,539,4,Male,93,HR Executive,1,Married,8972,20626,5,Yes,14,3,4,80,0,0,2,14,4,5,7,Very Far,1 Jobs,Level 3,23 Years,On service,Not due,High,Low Ratings
29,No,Travel_Frequently,1153,Research & Development,4,Marketing,1,3551,1,Male,93,Manager,3,Single,15988,4594,3,Yes,21,4,1,80,2,4,4,7,7,3,3,Very Far,3 Jobs,Level 1,9 Years,due for retirement,due for promotion,Medium,High Ratings
42,No,Non-Travel,1307,Sales,4,Medical,1,756,3,Female,68,Support Engineer,1,Married,11807,17730,9,No,10,3,2,80,2,2,3,0,5,8,4,Very Close,4 Jobs,Level 5,18 Years,On service,due for promotion,High,Low Ratings
45,Yes,Non-Travel,603,Sales,3,Other,1,3607,3,Male,52,Sales Executive,3,Married,9167,6636,7,Yes,15,4,2,80,3,1,2,7,6,7,4,Very Close,3 Jobs,Level 1,4 Years,On service,Not due,Medium,High Ratings
56,Yes,Travel_Rarely,171,Human Resources,4,Technical Degree,1,535,4,Male,48,HR Executive,2,Divorced,18698,9981,9,Yes,21,3,3,80,2,5,4,15,7,3,4,Very Close,4 Jobs,Level 1,19 Years,due for retirement,due for promotion,High,High Ratings
28,No,Travel_Rarely,889,Human Resources,3,Life Sciences,1,1449,1,Female,92,Sales Executive,3,Married,5230,14297,4,Yes,20,4,2,80,0,1,4,0,9,2,7,Close,3 Jobs,Level 4,24 Years,On service,Not due,Medium,Low Ratings
48,No,Non-Travel,953,Sales,3,Marketing,1,916,3,Male,91,Business Analyst,3,Married,8837,10142,0,No,12,4,3,80,1,4,1,11,0,9,8,Very Far,2 Jobs,Level 4,4 Years,due for retirement,due for promotion,Medium,Low Ratings
56,Yes,Travel_Frequently,1339,Sales,1,Life Sciences,1,3128,3,Female,54,HR Executive,3,Single,19136,17608,2,Yes,10,3,1,80,0,4,2,6,5,9,7,Close,1 Jobs,Level 5,9 Years,On service,due for promotion,High,Low Ratings
51,No,Travel_Frequently,298,Human Resources,4,Technical Degree,1,4940,4,Male,91,Business Analyst,2,Married,2552,9955,7,Yes,15,4,4,80,2,1,4,19,3,9,1,Close,2 Jobs,Level 5,1 Years,On service,due for promotion,Low,Low Ratings
44,No,Non-Travel,275,Research & Development,1,Marketing,1,5418,4,Female,82,Business Analyst,2,Single,13663,28447,2,Yes,15,4,1,80,3,4,1,4,2,9,2,Very Far,2 Jobs,Level 5,1 Years,due for retirement,due for promotion,High,High Ratings
54,No,Non-Travel,1283,Human Resources,2,Life Sciences,1,182,1,Female,99,Manager,4,Married,3161,14741,9,No,22,3,1,80,0,3,4,10,4,1,3,Very Far,3 Jobs,Level 5,20 Years,due for retirement,Not due,Low,High Ratings
32,No,Travel_Rarely,771,Human Resources,3,Medical,1,1770,2,Female,70,Sales Executive,1,Married,5682,29905,8,No,12,4,4,80,1,0,3,5,3,9,3,Very Close,3 Jobs,Level 5,19 Years,due for retirement,due for promotion,Medium,Low Ratings
48,No,Non-Travel,1079,Research & Development,3,Other,1,4610,1,Male,91,Business Analyst,1,Single,3863,29022,8,No,15,3,2,80,3,2,1,10,6,6,2,Very Far,4 Jobs,Level 1,3 Years,due for retirement,due for promotion,Low,High Ratings
28,No,Travel_Rarely,537,Sales,3,Marketing,1,2830,1,Male,54,Sales Executive,1,Single,4575,21226,8,No,22,4,3,80,1,2,4,4,6,4,8,Close,4 Jobs,Level 1,10 Years,due for retirement,due for promotion,Medium,Low Ratings
18,No,Non-Travel,518,Human Resources,3,Life Sciences,1,3314,2,Male,86,Sales Executive,2,Divorced,7323,10867,0,Yes,21,3,2,80,3,1,1,16,5,7,2,Very Far,4 Jobs,Level 3,12 Years,due for retirement,due for promotion,High,Low Ratings
